"00:00:18,758",randi,system_audio
"00:00:12,737",randi ki aulad,system_audio
"00:00:15,751",randi ki aulad,system_audio
"00:00:21,751",Teri Man,system_audio
"00:04:54,956",hello doston MSBTE diploma,system_audio
"00:04:57,956",aap ka result yah Aaj 2,system_audio
"00:01:08,729",land,system_audio
"00:01:11,738",in,system_audio
"00:01:14,645",Tumko,system_audio
"00:01:16,623",Neta neta,system_audio
"00:01:21,664",Yuvraj Singh Ji,system_audio
"00:01:22,666",Pawan Singh ki,system_audio
"00:01:29,677",Man ki chut,system_audio
"00:01:32,865",gand Marne,system_audio
"00:01:59,016",Sankat,system_audio
"00:02:03,115",passport,system_audio
"00:00:12,485",Inki,system_audio
"00:00:27,112",Narendra,system_audio
"00:00:09,679",Man Ki,system_audio
"00:00:14,241",Neta neta,system_audio
"00:00:18,649",Shiv,system_audio
"00:00:20,589",Teri Man ki,system_audio
"00:00:26,888",ki man,system_audio
"00:01:50,665",San,system_audio
"00:02:06,179",apni,system_audio
"00:02:24,076",Teri,system_audio
"00:02:31,246",use,system_audio
"00:02:34,844",kya,system_audio
"00:00:39,487",randi ki aulad,system
"00:01:05,551",bahan chod dunga man chod,system
"00:00:05,017",gand Maar dunga,system
"00:00:07,030",gand mara,system
"00:00:13,207",bahan chod dunga,system
"00:00:15,606",Khada,system
"00:00:12,955",bahan chod dunga,system
"00:00:21,652",machhar ki,system
"00:00:26,156",Tare Mil Gaya Humko,system
"00:00:28,162",are madrachod ke bacche,system
"00:00:56,992",Jis,system
"00:00:22,025",gand mara na chahta hun aap,system
"00:00:24,017",tyre mein,system
"00:00:26,286",apni bahan chod,system
"00:00:28,738",Khada,system
"00:00:32,706",bhosdi ke madrachod,system
"00:00:34,694",Mach,system
"00:00:36,685",abe laude,system
"00:00:38,887",Sare,system
"00:00:41,153",Humko pagal banaa raha hai madrachod ke bacche,system
"00:00:51,288",Chala Ja bhosdi,system
"00:00:08,872",karna chahta hun aap,system
"00:00:13,094",bahan chod dunga,system
"00:00:17,340",gand Maar Dunga bhosdi ki,system
"00:00:19,343",bhosdi ke madarchod,system
"00:00:23,674",abe laude Apna Kam,system
"00:00:25,651",Sare,system
"00:00:06,784",maarna chahta hun aap,system
"00:00:11,507",chod dunga man chod,system
"00:00:22,784",Apna Kam kar,system
"00:00:24,903",Humko pagal banaa raha hai,system
"00:00:06,816",gand mara na chahta hun,system
"00:00:08,813",thok dunga,system
"00:00:15,195",Khada Rahega gand Maar dunga,system
"00:00:19,314",bahan ke loade,system
"00:00:23,335",abe laude Apna Kam kar,system
"00:00:25,334",Sare Milke Humko pagal,system
"00:00:27,334",are madrachod ke bacche,system
"00:00:53,913",beti chod,system
"00:00:55,916",Jis,system
"00:00:12,319",karna chahta hun aap,system
"00:00:16,327",bahan chod dunga,system
"00:00:20,329",gand Maar Dunga bhosdi ki,system
"00:00:22,309",bhosdi ke madrachod,system
"00:00:27,098",abe laude Apna Kam,system
"00:00:29,098",Sare Milke Humko,system
"00:00:10,962",gand mara na chahta hun aap,system
"00:00:12,930",tyre mein,system
"00:00:23,970",machhar ki,system
"00:00:25,972",abe laude apna,system
"00:00:28,082",Sare Milkar,system
"00:00:40,103",Chala Ja bhosdi,system
